factor_id,factor_name_zh,category,subcategory,dsl,variant,base_factor,direction_high_is_good,replication_grade,applicability,pit_class,implementation_status,missing_dsl_operators,pending_allowlist_operators,source_preprocessing_requirements,missing_raw_fields,virtual_source_fields,derived_relation_fields,required_fields,operators_used,required_new_operators,source_acronym,source_name,source_authors,source_year,source_journal,source_sign,source_category,source_definition_summary,notes,ast_syntax_valid,dsl_calls,field_identifiers,required_new_operators_original,dsl_normalized,formula_hash,formula_duplicate_count,canonical_factor_id_for_formula,is_canonical_formula,source_url,evidence_type,increment_batch,ast_error,duplicate_of_existing,duplicate_within_supplement,selected_variant,selection_reason,library_role,preprocess_policy
VAL001,盈利收益率（PE倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_pe_ratio), industry_industry_code)",irank,VAL001,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_pe_ratio,group_rank|safe_div,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_pe_ratio,,"group_rank(safe_div(1.0,val_pe_ratio),industry_industry_code)",1d2f3e6008d30d2f,1,VAL001__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL002,历史盈利收益率（LYR PE倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_pe_ratio_lyr), industry_industry_code)",irank,VAL002,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_pe_ratio_lyr,group_rank|safe_div,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_pe_ratio_lyr,,"group_rank(safe_div(1.0,val_pe_ratio_lyr),industry_industry_code)",a5516f84b7aae132,1,VAL002__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL003,账面市值比（PB倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_pb_ratio), industry_industry_code)",irank,VAL003,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_pb_ratio,group_rank|safe_div,,BM,"Book to market, original (Stattman 1980)",Stattman,1980.0,Other,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_pb_ratio,,"group_rank(safe_div(1.0,val_pb_ratio),industry_industry_code)",36892296d7459e3e,1,VAL003__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL004,销售收益率（PS倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_ps_ratio), industry_industry_code)",irank,VAL004,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_ps_ratio,group_rank|safe_div,,SP,Sales-to-price,"Barbee, Mukherji and Raines",1996.0,FAJ,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_ps_ratio,,"group_rank(safe_div(1.0,val_ps_ratio),industry_industry_code)",e7c88d0c2c2f0f8b,1,VAL004__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL005,现金流收益率（PCF倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_pcf_ratio), industry_industry_code)",irank,VAL005,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_pcf_ratio,group_rank|safe_div,,cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004.0,AR,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_pcf_ratio,,"group_rank(safe_div(1.0,val_pcf_ratio),industry_industry_code)",e6201ac09b30732e,1,VAL005__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL006,现金流收益率二口径（PCF2倒数）,valuation,value_yield,"group_rank(safe_div(1.0, val_pcf_ratio2), industry_industry_code)",irank,VAL006,1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_pcf_ratio2,group_rank|safe_div,,cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004.0,AR,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_pcf_ratio2,,"group_rank(safe_div(1.0,val_pcf_ratio2),industry_industry_code)",c89db743c45e5a59,1,VAL006__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL007,股息率,valuation,value_yield,"group_rank(safe_div(val_dividend_ratio, 100.0), industry_industry_code)",irank,VAL007,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,industry_industry_code|val_dividend_ratio,group_rank|safe_div,,DivYield,Dividend yield for small stocks,"Naranjo, Nimalendran, Ryngaert",1998.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,industry_industry_code|val_dividend_ratio,,"group_rank(safe_div(val_dividend_ratio,100.0),industry_industry_code)",b4553811dd4b30b6,1,VAL007__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL008,归母净利润TTM/总市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_market_cap), industry_industry_code)",irank,VAL008,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_market_cap,group_rank|safe_div|ttm_from_cumulative,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_market_cap),industry_industry_code)",c158c18ce5e2c1cd,1,VAL008__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL009,净利润TTM/总市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_net_profit, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_market_cap), industry_industry_code)",irank,VAL009,1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_net_profit|inc_report_period_end_date|industry_industry_code|val_market_cap,group_rank|safe_div|ttm_from_cumulative,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_net_profit|inc_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_net_profit,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_market_cap),industry_industry_code)",321cde92596a06cf,1,VAL009__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL010,营业收入TTM/总市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_operating_revenue, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_market_cap), industry_industry_code)",irank,VAL010,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_market_cap,group_rank|safe_div|ttm_from_cumulative,,SP,Sales-to-price,"Barbee, Mukherji and Raines",1996.0,FAJ,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_operating_revenue,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_market_cap),industry_industry_code)",ed9f6ccca8b51dd4,1,VAL010__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
