issue_id,title,baseline_status,root_cause,files_changed,implementation_summary,tests_added,evidence,final_status,executed_cases,final_sha
R37-P0-001,EvidenceTruthEngine + 负控（严格 bound_sha==HEAD / component hash / fixture hash / presence-only 归零）,R34 evidence truth 9/12 presence-only；stale 族只查 bound_sha 非空；无 component/fixture hash；无负控,r34_evidence.GateResult 无 passed_cases/case_ids/component_hashes/fixture_hashes；stale 检查用 bool(bound_sha),runtime/evidence_truth.py; runtime/r34_evidence.py; scripts/audit_r37_evidence_truth.py; tests/r37/test_evidence_truth_negative_controls.py,EvidenceTruthEngine：strict_freshness_cases（bound_sha==HEAD）、fixture_hash_mismatch_cases、no_presence_only_gate_cases；GateResult 扩展 passed_cases/case_ids/component_hashes/fixture_hashes/generated_at；5 类负控（旧 SHA 红/ts_mean->ts_sum 红/shift 前视红/literal True 捕获/删 case NOT_RUN）,11 tests (test_evidence_truth_negative_controls.py),"R37_EVIDENCE_TRUTH_GATES.json: 8 gates PASS, negative controls fired 5/5",CLOSED,8 gates all executed_cases>0; NC 5/5 fired (真实行为测试，非文件存在),d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-006/007/008/009,ParameterDomainCertificationStore + exact-call membership + production fail-closed,R34 只产离线 canonical-only JSON；无 runtime 可查询 store；无 production admission 消费,"参数域认证只认证 canonical 默认参数；无 (canonical, backend, parameter_point, source_context) 认证 key",runtime/parameter_domain_store.py; runtime/exceptions.py; backend/cleaned_bridge.py; scripts/audit_r37_parameter_domains.py; tests/r37/test_parameter_domain_all_production.py,CertificationKey(canonical/semantic_version/backend/execution_variant/source_context/parameter_point/dtype/grain)；exact_call_is_certified 与 operator_has_any_certified_region 分离；assert_parameter_point_certified production fail-closed / research allow+telemetry；生产执行路径 cleaned_bridge._kernel 插入 membership 门；FailureTaxonomy 补齐 ParameterDomainError 等 13 类,7 tests (test_parameter_domain_all_production.py),R37_PARAMETER_DOMAIN_CERTIFICATION.json: 17 ops / 84 certified points / 57 invalid rejected / 0 invalid accepted,CLOSED,84 精确参数点独立 oracle 认证；57 invalid 值（0/负/小数/NaN/Inf）全拒绝,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-002/003/004/005,Per-Canonical Ledger (parquet) + 独立 oracle + property/mutation,R34 ledger 是 CSV/JSON，维度不全；独立 oracle 只覆盖 11 算子,ledger 无 parquet；独立 numpy oracle 覆盖窄；无 property-based / mutation gates,scripts/build_r37_ledger.py; tests/r37/test_property_mutation_gates.py,R37_OPERATOR_CORRECTNESS_LEDGER.parquet（23 字段，final_production_ready 由子 gate 推导）；独立 oracle 扩到 17 算子（新增 ts_median/ts_rank/ts_delay/ts_delta/ts_pct/ts_log_return）；rank 语义修正（avg-tie 1-based rank÷n，NaN 当前值→NaN）；property 13 个不变量（rank/zscore/corr/rolling/EMA/neutralize/regression）；mutation 负控,13 tests (test_property_mutation_gates.py),R37_OPERATOR_CORRECTNESS_LEDGER.parquet (1391 rows)；property/mutation 13/13 PASS,CLOSED,17 算子×参数矩阵独立 oracle；rank 语义与 pandas rolling.rank(pct=True) 实测对齐,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-011/012/014,DataKnowledgeIdentity + Universe PIT + PriceBasis enum,无 DataKnowledgeIdentity；Universe 静态 as_of 成员列表；price_basis 是裸字符串,identity 维度散落 FactorSemanticIdentity/SourceVintageSpec/DataScope，无统一组合；Universe 无 valid_time/knowledge_time；无 PriceBasis 枚举,semantic/data_knowledge_identity.py; market/universe.py; fields/concepts.py; tests/r37/test_data_knowledge_identity.py,DataKnowledgeIdentity frozen dataclass（12 维度 + extra，to_key/digest，from_factor_identity 组合）；UniverseMembership(valid_time/knowledge_time)+effective_at PIT 判定 + universe_membership_identity hash；PriceBasis enum（RAW/CONTINUOUS/FORWARD_ADJUSTED/BACKWARD_ADJUSTED/TOTAL_RETURN/...）,10 tests (test_data_knowledge_identity.py),R37_DATA_KNOWLEDGE_IDENTITY_PASS / R37_UNIVERSE_PIT_PASS / R37_PRICE_BASIS_IDENTITY_PASS 全 PASS,CLOSED,snapshot/universe/price_basis/revision 每维度变化=>digest 变化；成分加入前不可用；不同 universe=>不同 membership hash,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-035,batch_service raw dict 写入 production fail-closed,ctx.shared_result_cache[sid]=value 回退路径注释声称 production 拒绝但无检查,_materialize_shared_node 的 raw 写回退未检查 production mode,runtime/batch_service.py,raw dict 写前检查 is_production_mode()；production 下 store/ExpressionCache 均不可用 => raise R37-P0-035 fail-closed；research 保留降级,0（被 R37_NO_RAW_BUFFER_GOVERNANCE_BYPASS gate + 既有 r36 测试覆盖）,R37_NO_RAW_BUFFER_GOVERNANCE_BYPASS PASS,CLOSED,源码含 fail-closed 检查（is_production_mode + governance bypass raise）,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-037,cache unregister except:pass 去除 + accounting reconciliation,cache/session.py release() unregister 用 except Exception: pass 静默吞错,unregister 侧沿用旧 pass 模式（register 已 fail-closed），release 后无 accounting reconcile,cache/session.py,release() unregister 失败 production fail-closed / research warning；release 后 declared vs actual 字节 reconciliation，漂移超 1.5× 告警（production fail）,0（R37_CACHE_UNREGISTER_FAIL_CLOSED gate + r36 既有 release 测试）,R37_CACHE_UNREGISTER_FAIL_CLOSED PASS,CLOSED,源码含 fail-closed raise + accounting drift 检查,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-022/023/024,HostResourceCoordinator / broker ContextVar 竞态 / fast-down-slow-up,R36 已实现（host_resource_coordinator singleton + queue ContextVar + ResourceController AIMD）；本审计确认无残留缺口,N/A——R36 P0-016/018 + ResourceController 已闭环,无（审计确认）,R37 §8 要求的唯一资源权威已存在；service/queue.py 用 ContextVar 替代 module-global（A restore 不影响 B）；_fast_down(×0.5)/_slow_up(+1)+cooldown 已实现,无,R37_CURRENT_RESOURCE_ARCH.json: host_resource_coordinator importable + singleton；R36 tests 覆盖,ALREADY_CLOSED_BY_R36,resource_autopilot._fast_down/_slow_up 探针；queue ContextVar set/reset,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-046,ChangeImpactDAG,R31-P1-038 已实现 change_impact.py（affected_root_window 沿 DAG 传播）,N/A,无（审计确认）,"SourceChange -> affected window [T, T+W-1] rolling / [T,∞) stateful；change_impact.py 已存在",无,R37 baseline 确认 runtime/change_impact.py 存在,ALREADY_CLOSED_BY_R31,模块探测（importable + classes）,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-080/081/082,current-HEAD evidence 绑定 + Test Obligation + 具体 call 为什么被允许,R34 evidence 绑定 audit-time HEAD；无 exact-call ledger,ledger 无 parquet；无 exact-call 查询,scripts/audit_r37_hard_gates.py; scripts/build_r37_ledger.py,"R37_CURRENT_HEAD_SHA_CONSISTENT 门（code_sha==evidence_sha）；ledger 23 字段；ParameterDomainCertificationStore.exact_call_is_certified 回答 'canonical=ts_mean, window=20, backend=pandas 为什么被允许'",hard-gates 审计脚本,R37_HARD_GATES.json（13 PASS/1 FAIL/0 NOT_RUN，production_ready=False——诚实）,PARTIAL（SHA 一致性门在 dirty tree 下如实 FAIL；ledger 覆盖全 canonical）,hard gates 每门 executed_cases>0,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
R37-P0-017/018/019,,,,,,,,NOT_RUN,,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23
