candidate,candidate_signature,current_exact,current_alias,semantic_equivalent,composable,current_surface,pandas,polars,duckdb_sql,field_legal,pit_legal,disposition,replacement,reason
ALMA,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,Gaussian-window MA with offset; no existing ALMA op
CoppockCurve,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,WMA(ROC(a)+ROC(b)); no existing named op
ElderRay,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,"bull=high-EMA(close), bear=low-EMA(close); no existing op"
FisherTransform,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,rolling-normalized 0.5*ln((1+z)/(1-z)); no existing op
HMA,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,"Hull MA = WMA(2*WMA(x,n/2)-WMA(x,n), sqrt(n)); no existing Hull op"
KAMA,,yes,no,no,no,daily,,,,yes,yes,EXISTING_EXACT,KAMA registered in technical/signal.py,KAMA registered in technical/signal.py
QQE,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,RSI + ATR-band adaptive oscillator; no existing QQE op
RSX,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,Jurik low-lag RSI variant; no existing RSX op
WMA,,no,no,no,no,,,,,yes,yes,EXISTING_EXACT,WMA registered (polars_signal / _wma),WMA registered (polars_signal / _wma)
cn_sma,,no,no,no,no,,,,,yes,yes,EXISTING_ALIAS,ts_sma_cn,ts_sma_cn
cs_factor_bucket_return,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,"group_mean(returns, cs_bucket(x, n))","group_mean(returns, cs_bucket(x, n))"
cs_isolation_forest_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,cs_isolation,cs_isolation
cs_predictability_mosaic_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,multi-horizon predictability aggregation; new
cs_robust_mahalanobis_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,cs_robust_mahalanobis_mad (+ cs_zscore),cs_robust_mahalanobis_mad (+ cs_zscore)
cs_topological_anomaly_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,cross-sectional TDA-based anomaly synthesis
event_window_return_asof,,no,no,no,no,,,,,yes,yes,ARCHITECTURE_SUPERSEDED,event_cumulative_return_past + PIT join,event_cumulative_return_past + PIT join
fin_schema_gate,,no,no,no,no,,,,,yes,yes,BLOCKED_BY_DATA_CONTRACT,,no financial_statement_schema field in data dictionary
financial_snapshot_lag,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fin_lag + fin_staleness,fin_lag + fin_staleness
fiscal_acceleration,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fin_growth_acceleration / fin_trend_acceleration,fin_growth_acceleration / fin_trend_acceleration
fiscal_capital_stock,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,"fiscal_perpetual_inventory(capex, period_id, dep)","fiscal_perpetual_inventory(capex, period_id, dep)"
fiscal_cost_stickiness_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fiscal_asymmetric_elasticity,fiscal_asymmetric_elasticity
fiscal_delta,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fin_diff / period_change,fin_diff / period_change
fiscal_lag,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,period_lag / fin_lag,period_lag / fin_lag
fiscal_pct_change,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fin_pct_change,fin_pct_change
fiscal_rolling_regression,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,"ts_regression_slope(fiscal, period_ordinal, window)","ts_regression_slope(fiscal, period_ordinal, window)"
fiscal_rolling_std,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fin_std,fin_std
fundamental_cash_flow_duration,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,"Macaulay-style PV-weighted cash-flow duration; niche, research first"
fundamental_cost_stickiness_panel,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,fiscal_asymmetric_elasticity (panel wrapper),fiscal_asymmetric_elasticity (panel wrapper)
fundamental_latent_balance_sheet_factor,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,cross-sectional PCA of balance-sheet; research
fundamental_working_capital_financing_state,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,state classifier; research first
intra_absorption_curve_area,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,absorption curve area; P1
intra_bicoherence_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_bicoherence_*,ts_bicoherence_*
intra_business_time_deformation,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intraday_volume_clock_* / ts_activity_clock_*,intraday_volume_clock_* / ts_activity_clock_*
intra_change_point_sequence_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,multi-change-point sequence stats; research
