canonical,fixture,parity_class,native_used,fallback_used,native_pass,fallback_pass,reference_pass,note
Beta,all_equal,unclassified_parity,False,False,,True,True,
Beta,many_ties,unclassified_parity,False,False,,True,True,
Beta,zero_denominator,unclassified_parity,False,False,,True,True,
Beta,negative_values,unclassified_parity,False,False,,True,True,
Beta,very_large_values,unclassified_parity,False,False,,True,True,
Beta,very_small_values,unclassified_parity,False,False,,True,True,
Beta,alternating_signs,unclassified_parity,False,False,,True,True,
Beta,single_valid_sample,unclassified_parity,False,False,,True,True,
Beta,two_valid_samples,unclassified_parity,False,False,,True,True,
Beta,current_row_missing,unclassified_parity,False,False,,True,True,
Beta,internal_hole,unclassified_parity,False,False,,True,True,
Beta,inf,unclassified_parity,False,False,,True,True,
Beta,neg_inf,unclassified_parity,False,False,,True,True,
Beta,long_nan_block,unclassified_parity,False,False,,True,True,
Beta,duplicate_group_labels,unclassified_parity,False,False,,True,True,
Beta,string_group_labels,unclassified_parity,False,False,,True,True,
Beta,group_missing,unclassified_parity,False,False,,True,True,
Beta,column_permutation,unclassified_parity,False,False,,True,True,
Corr,all_equal,native_parity,True,False,True,,True,
Corr,many_ties,native_parity,True,False,True,,True,
Corr,zero_denominator,native_parity,True,False,True,,True,
Corr,negative_values,native_parity,True,False,True,,True,
Corr,very_large_values,native_parity,True,False,True,,True,
Corr,very_small_values,native_parity,True,False,True,,True,
Corr,alternating_signs,native_parity,True,False,True,,True,
Corr,single_valid_sample,native_parity,True,False,True,,True,
Corr,two_valid_samples,native_parity,True,False,True,,True,
Corr,current_row_missing,native_parity,True,False,True,,True,
Corr,internal_hole,native_parity,True,False,True,,True,
Corr,inf,native_parity,True,False,True,,True,
Corr,neg_inf,native_parity,True,False,True,,True,
Corr,long_nan_block,native_parity,True,False,True,,True,
Corr,duplicate_group_labels,native_parity,True,False,True,,True,
Corr,string_group_labels,native_parity,True,False,True,,True,
Corr,group_missing,native_parity,True,False,True,,True,
Corr,column_permutation,native_parity,True,False,True,,True,
Cov,all_equal,native_parity,True,False,True,,True,
Cov,many_ties,native_parity,True,False,True,,True,
Cov,zero_denominator,native_parity,True,False,True,,True,
Cov,negative_values,native_parity,True,False,True,,True,
Cov,very_large_values,native_parity,True,False,True,,True,
Cov,very_small_values,native_parity,True,False,True,,True,
Cov,alternating_signs,native_parity,True,False,True,,True,
Cov,single_valid_sample,native_parity,True,False,True,,True,
Cov,two_valid_samples,native_parity,True,False,True,,True,
Cov,current_row_missing,native_parity,True,False,True,,True,
Cov,internal_hole,native_parity,True,False,True,,True,
Cov,inf,native_parity,True,False,True,,True,
Cov,neg_inf,native_parity,True,False,True,,True,
Cov,long_nan_block,native_parity,True,False,True,,True,
Cov,duplicate_group_labels,native_parity,True,False,True,,True,
Cov,string_group_labels,native_parity,True,False,True,,True,
Cov,group_missing,native_parity,True,False,True,,True,
Cov,column_permutation,native_parity,True,False,True,,True,
Covariance,all_equal,native_parity,True,False,True,,True,
Covariance,many_ties,native_parity,True,False,True,,True,
Covariance,zero_denominator,native_parity,True,False,True,,True,
Covariance,negative_values,native_parity,True,False,True,,True,
Covariance,very_large_values,native_parity,True,False,True,,True,
Covariance,very_small_values,native_parity,True,False,True,,True,
Covariance,alternating_signs,native_parity,True,False,True,,True,
Covariance,single_valid_sample,native_parity,True,False,True,,True,
Covariance,two_valid_samples,native_parity,True,False,True,,True,
Covariance,current_row_missing,native_parity,True,False,True,,True,
Covariance,internal_hole,native_parity,True,False,True,,True,
