file,line,symbol,pattern,severity,code,canonicals,review_status,resolution
cleaned_operators/_causal.py,537,causal_linear_extrapolate_panel,lead_next_call,P0,"prev_idx = next ( ( j for j in range ( i - 1 , - 1 , - 1 ) if np . isfinite ( arr [ j ] ) ) , None )",,reviewed,builtin next(iter) — not the forbidden next operator; no future read
cleaned_operators/_causal.py,540,causal_linear_extrapolate_panel,lead_next_call,P0,prev2_idx = next (,,reviewed,builtin next(iter) — not the forbidden next operator; no future read
cleaned_operators/advanced_information.py,761,_peak,random_call,P0,rng = np . random . default_rng ( seed ),,reviewed,fixed-seed default_rng surrogate null for TE peak-excess significance; deterministic; extended/PENDING
cleaned_operators/advanced_structure.py,385,_calculate_series,random_call,P0,rng = np . random . default_rng ( _SEED ),,reviewed,fixed-seed default_rng(_SEED); deterministic internal fixture
cleaned_operators/closure_audit.py,492,_condition_bool_contract,random_call,P0,rng = np . random . default_rng ( _stable_seed ( ) ),,reviewed,fixed-seed default_rng(_stable_seed()); audit fixture
cleaned_operators/closure_audit.py,740,_null_calibration,random_call,P0,rng = np . random . default_rng ( _stable_seed ( ) ),,reviewed,fixed-seed default_rng(_stable_seed()); audit fixture
cleaned_operators/closure_audit.py,823,_practical_usability,random_call,P0,rng = np . random . default_rng ( _stable_seed ( ) ),,reviewed,fixed-seed default_rng(_stable_seed()); audit fixture
cleaned_operators/common/_polars_bridge.py,266,from_frame,lead_next_call,P0,"time_col = next ( ( c for c in _TIME_AXIS_COLUMNS if c in columns ) , None )",,reviewed,builtin next(iter) over time-axis columns — benign
cleaned_operators/common/_polars_bridge.py,308,panel_schema,lead_next_call,P0,"time_col = next ( ( c for c in _TIME_AXIS_COLUMNS if c in columns ) , None )",,reviewed,builtin next(iter) over time-axis columns — benign
cleaned_operators/common/_polars_bridge.py,494,frame_time_index,lead_next_call,P0,"time_col = next ( ( c for c in _TIME_AXIS_COLUMNS if c in frame . columns ) , None )",,reviewed,builtin next(iter) over time-axis columns — benign
