canonical,aliases,source_file,source_symbol,category,business_category,surface,production_certification,role,terminal_allowed,deterministic,pit_safe_claim,stateful,input_arity,input_grain,output_grain,input_units,output_unit,params,default_params,backends,window_semantics,tags,description
ADX,ts_adx,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,high|low|close|window,{},pandas_numpy|polars,,daily|panel|technical_signal,Wilder ADX，方向运动独立判断
ATR_WILDER,ts_atr_wilder,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,high|low|close|window,{},pandas_numpy|polars,,daily|panel|technical_signal,共享真实波幅内核的 Wilder ATR
CMF,,cleaned_operators.price_volume.technical_extensions,Production_CMF,price_volume_extension,technical_extension,daily,PENDING,,,,,,,,,,,high|low|close|volume|window,{},pandas_numpy|polars,,pit_safe|causal|production_extension,Chaikin Money Flow.
CMO,,cleaned_operators.technical.indicators_v2,TechnicalV2_CMO,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|window,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Chande momentum oscillator.
ChaikinOscillator,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_ChaikinOscillator,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,high|low|close|volume|fast_window|slow_window|adl_window,{},pandas_numpy|polars,,pit_safe|causal|bounded_history|production_extension|stateful|full_replay,Chaikin oscillator over the bounded rolling ADL flow (NOT cumulative ADL).
DEMA,,cleaned_operators.technical.indicators_v2,TechnicalV2_DEMA,technical_signal,technical,daily,PENDING,,,,,,,,,,,x|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Double exponential moving average.
DMI_minus,,cleaned_operators.technical.indicators_v2,TechnicalV2_DMI_minus,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Wilder negative directional indicator.
DMI_plus,,cleaned_operators.technical.indicators_v2,TechnicalV2_DMI_plus,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Wilder positive directional indicator.
DX,,cleaned_operators.technical.indicators_v2,TechnicalV2_DX,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Directional movement index before ADX smoothing.
EaseOfMovement,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_EaseOfMovement,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,high|low|volume|window|volume_scale,"{""volume_scale"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension|unit_conversion_only,Ease-of-Movement with explicit smoothing and volume scale.
ForceIndex,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_ForceIndex,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,close|volume|window,{},pandas_numpy|polars,,pit_safe|causal|bounded_history|production_extension|stateful|full_replay,EMA-smoothed price-change times volume.
KAMA,,cleaned_operators.technical.indicators_v2,TechnicalV2_KAMA,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|er_window|fast_window|slow_window,"{""er_window"": ""MISSING"", ""fast_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Kaufman adaptive moving average; recursive/stateful.
KeltnerLower,,cleaned_operators.technical.indicators_v2,TechnicalV2_KeltnerLower,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|ema_window|atr_window|multiplier,"{""atr_window"": ""MISSING"", ""ema_window"": ""MISSING"", ""multiplier"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Keltner lower envelope.
KeltnerMid,,cleaned_operators.technical.indicators_v2,TechnicalV2_KeltnerMid,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|ema_window,"{""ema_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Keltner EMA midline.
KeltnerPosition,,cleaned_operators.technical.indicators_v2,TechnicalV2_KeltnerPosition,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|ema_window|atr_window|multiplier,"{""atr_window"": ""MISSING"", ""ema_window"": ""MISSING"", ""multiplier"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Close position inside Keltner channel.
KeltnerUpper,,cleaned_operators.technical.indicators_v2,TechnicalV2_KeltnerUpper,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|ema_window|atr_window|multiplier,"{""atr_window"": ""MISSING"", ""ema_window"": ""MISSING"", ""multiplier"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Keltner upper envelope.
MACD_hist,,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,x|fast|slow|signal,{},pandas_numpy|polars,,daily|panel|technical_signal,MACD 柱；复用已有基础算子
MACD_line,MACD|ts_macd,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,x|fast|slow|signal,"{""signal"": ""9""}",pandas_numpy|polars,,daily|panel|technical_signal,快慢 EMA 之差；复用 ts_ema 与 subtract（signal 为兼容 no-op）
MACD_signal,,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,x|fast|slow|signal,{},pandas_numpy|polars,,daily|panel|technical_signal,MACD 信号线；复用 ts_ema
MFI,,cleaned_operators.price_volume.technical_extensions,Production_MFI,price_volume_extension,technical_extension,daily,PENDING,,,,,,,,,,,high|low|close|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Money Flow Index.
NATR,,cleaned_operators.technical.indicators_v2,TechnicalV2_NATR,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|production_extension|stateful|full_replay,Normalized Wilder ATR as percent of close.
PPO,,cleaned_operators.technical.indicators_v2,TechnicalV2_PPO,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|fast_window|slow_window,"{""fast_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Percentage price oscillator.
