canonical,family,math_status,tie_status,missing_status,physical_clock_status,state_history_status,numeric_stability_status,default_feasibility_status,unit_semantics_status,economic_semantics_status,fix,evidence
ts_chatterjee_xi,dependence,ok,target_independent,ok,n/a,ok,ok,PASS,ok,ok,y-independent stable tie ordering (R26-005..007),test_dependence_ties
cs_rank_copula_mi,information,ok,ok,ok,n/a,ok,ok,PASS,ok,ok,"Jeffreys-only estimator, Miller-Madow removed (R26-009..011)",test_dependence_ties
intra_realized_variance,intraday,ok,ok,explicit_slots,official_grid,ok,ok,PASS,ok,ok,SessionPanel grid alignment + gated log returns (R26-013..020),test_intraday_physical_clock
intra_path_efficiency,intraday,ok,ok,break_on_gap,official_grid,ok,ok,PASS,ok,ok,"contiguous complete run, no gap bridging (R26-028/029)",test_intraday_physical_clock
intra_high_time,intraday,ok,latest_extreme,explicit_slots,slot_ordinal,ok,ok,PASS,ok,ok,"official slot ordinal, not observed row index (R26-030)",test_intraday_physical_clock
intra_lunch_gap_return,intraday,ok,ok,exact_endpoints,official_grid,ok,ok,PASS,ok,ok,EndpointPolicy.EXACT 11:30/13:01 (R26-027),test_intraday_physical_clock
intra_limit_first_hit_time,intraday,ok,ok,tri_state,slot_ordinal,ok,ok,PASS,ok,ok,per-side OHLC + slot ordinal + tri-state limit (R26-031..034),test_intraday_physical_clock
session_event_recovery_score,intraday,ok,ok,break_censor,official_grid,ok,ok,PASS,ok,ok,min_events=3 + EventMissingPolicy + session-close proof (R26-047..051),test_r11_round3_intraday
ts_hill_tail_index,tail,ok,ok,ok,n/a,ok,ok,PASS,ok,ok,positive-level lower tail unsupported; loss-magnitude Hill (R26-060..062),test_tail_estimators
ts_roll_effective_spread,liquidity,ok,ok,ok,n/a,ok,ok,PASS,ok,ok,"positive covariance -> NaN, positive-price gate (R26-069..071)",test_tail_estimators
ts_glr_mean_shift_score,change_point,ok,ok,ok,n/a,ok,recentered,PASS,ok,ok,recentered prefix moments (R26-065..068),test_r11_round3_glr_spread
AROON_up,technical,ok,latest_extreme,ok,n/a,ok,ok,PASS,ok,ok,latest-extreme tie policy (R26-076..078),test_technical_ties_patterns
ts_last_pivot_high,technical,ok,ok,ok,n/a,bounded_lookback,ok,PASS,ok,ok,pivot_lookback_bars bounds the state machine (R26-079..081),test_technical_extensions
cdl_spinning_top,candle,ok,ok,tri_state,n/a,ok,ok,PASS,ok,ok,"neutral-direction event -> NaN, never +1 (R26-085/086)",test_technical_ties_patterns
event_interval_memory,event_interval,ok,ok,break,bar_window,ok,ok,PASS,ok,ok,BAR window semantics + doc==kernel min-support (R26-088..091),test_event_interval_clock
ts_multiscale_permutation_entropy_slope,state_geometry,ok,ok,ok,n/a,ok,ok,PASS,ok,ok,feasible default window=256 (R26-093..095),audit_r26_default_feasibility
composition_entropy,composition,ok,ok,ok,n/a,ok,ok,PASS,ok,part_whole_only,invalid financial_statement schema removed (R26-096..102),test_composition_schema
ts_effective_transfer_entropy,information,ok,ok,fixed_mask,n/a,ok,ok,PASS,ok,ok,"fixed NaN mask, finite-only surrogate rearrangement (R26-103/104)",test_r11_te_peak_binning
ts_quantile_crossing_spectral_concentration,quantile,ok,ok,contiguous_run_checked,n/a,ok,ok,PASS,ok,ok,post-truncation length re-check (R26-108/109),test_market_language
ts_extremogram,quantile,ok,ok,ok,n/a,ok,ok,PASS,signed_probability_difference,ok,signed probability difference unit (R26-110),test_market_language
ts_dc_event_rate,directional_change,ok,ok,clock_observable_denom,n/a,ok,ok,PASS,scale_mode_split,ok,scale_mode absolute/relative + clock-observable denominator (R26-113..117),test_r11_round2_directional_change
ts_dmd_energy_concentration,dmd,ok,ok,ok,n/a,ok,log_domain,PASS,ok,ok,"log-domain rho/energy, fail-closed on all-zero (R26-122..125)",test_dmd_log_numerics
intraday_impact_decay_rate,intraday,ok,ok,ok,n/a,ok,censor_floor,PASS,ok,ok,detection-floor censor keeps recovery evidence (R26-057..059),test_r26_impact_decay
