canonical,aliases,surface,lifecycle_status,scope,execution_kind,terminal_or_intermediate,direct_use_status,mining_role,agent_visible,production_certified,production_admitted,directly_usable,mining_visible,composition_usable,terminal_usable,context_admitted,backend_passed,backends,backend_status,backend_signature_consistent,pandas_impl,polars_panel_impl,polars_long_impl,duckdb_impl,math_oracle_pass,oracle_pass,prefix_causality_pass,pit_safe,lookback_contract,implementation_certified,semantic_certified,temporal_certified,source_contract_certified,edge_case_passed,determinism_verified,runtime_execution_verified,stateful,execution_model,full_history_replay_required,cost_tier,factor_role
ADX,ts_adx,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'recursive_state', 'parameters': ['window'], 'requires_checkpoint_for_segments': True, 'finite_warmup_is_approximation': True}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,checkpoint,TRUE,1,alpha
ALMA,,extended,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=polars_udf_pandas_delegate|duckdb_sql=|sql=|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars,implemented,TRUE,TRUE,TRUE,FALSE,FALSE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
ATR_WILDER,ts_atr_wilder,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,intermediate,direct_intermediate,recipe_internal,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'recursive_state', 'parameters': ['window'], 'requires_checkpoint_for_segments': True, 'finite_warmup_is_approximation': True}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,checkpoint,TRUE,1,recipe_internal
CMF,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
CMO,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
ChaikinOscillator,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,PASS,PASS,unknown,FALSE,"{'kind': 'causal_unbounded', 'parameters': [], 'includes_current_bar': True, 'expression': None, 'semantics': 'causal_unbounded'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
CoppockCurve,,extended,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=polars_udf_pandas_delegate|duckdb_sql=|sql=|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars,implemented,TRUE,TRUE,TRUE,FALSE,FALSE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'causal_unbounded', 'parameters': [], 'includes_current_bar': True, 'expression': None, 'semantics': 'causal_unbounded'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
DEMA,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
DMI_minus,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
DMI_plus,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
DX,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
EaseOfMovement,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
ElderRay,,extended,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=polars_udf_pandas_delegate|duckdb_sql=|sql=|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars,implemented,TRUE,TRUE,TRUE,FALSE,FALSE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'causal_unbounded', 'parameters': [], 'includes_current_bar': True, 'expression': None, 'semantics': 'causal_unbounded'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
FisherTransform,,extended,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=polars_udf_pandas_delegate|duckdb_sql=|sql=|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars,implemented,TRUE,TRUE,TRUE,FALSE,FALSE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
ForceIndex,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,full_history,FALSE,1,alpha_high_cost
HMA,,extended,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=polars_udf_pandas_delegate|duckdb_sql=|sql=duckdb_native_sql|clickhouse_sql=,terminal,direct_alpha,alpha,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars|sql,implemented,TRUE,TRUE,TRUE,FALSE,TRUE,NOT_PROVEN,NOT_PROVEN,causal,FALSE,"{'kind': 'parameterized_rows', 'parameters': ['window'], 'includes_current_bar': True, 'expression': 'window - 1', 'semantics': 'exact_rows'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,independent_with_warmup,FALSE,1,alpha
KAMA,,daily,experimental,time_series,pandas_numpy=pandas_numpy_reference|polars=expression_native|duckdb_sql=|sql=|clickhouse_sql=,terminal,direct_alpha_high_cost,alpha_high_cost,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,pandas_numpy|polars,implemented,TRUE,TRUE,TRUE,FALSE,FALSE,NOT_PROVEN,NOT_PROVEN,unknown,FALSE,"{'kind': 'causal_unbounded', 'parameters': [], 'includes_current_bar': True, 'expression': None, 'semantics': 'causal_unbounded'}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,full_history,FALSE,1,alpha_high_cost
