task_id,priority,category,description,status,evidence_file,notes
R32-P0-031,P0,Manifest,空对象集也必须有 canonical digest,DONE,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"Lines 201-230: content_digest_of_objects() correctly handles empty set with canonical sha256 hash of empty JSON array []"
R32-P0-032,P0,Manifest,Manifest 0-byte object 不得被 falsy 运算吃掉,DONE,/home/shw/quant_projects/dataaccess/snapshot/resolver.py,"Lines 301-307: Uses explicit key presence check 'if ""size"" in entry' instead of falsy 'or' operation, correctly preserves 0-byte files"
R32-P0-033,P0,Manifest,Manifest schema version 必须真正 compatibility gate,DONE,/home/shw/quant_projects/dataaccess/snapshot/resolver.py,"Lines 40-67: _validate_manifest_version() with explicit allowlist {""1.0"", ""1.1"", ""1""}, unknown versions fail-closed. Lines 232-240: strict validation enforced"
R32-P0-034,P0,Manifest,published_at 必须严格 timezone-aware timestamp,DONE,/home/shw/quant_projects/dataaccess/snapshot/resolver.py,"Lines 69-109: _validate_published_at() validates ISO 8601, requires timezone, checks future skew (>55min threshold), validates format"
R32-P0-035,P0,Manifest,Publisher authority 与 Object identity 分离,DONE,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"Lines 74-116: ObjectIdentity.identity property separates publisher authority from content proof. Priority: checksum > etag/version_id > mtime_ns"
R32-P0-036,P0,Manifest,禁止通过字符 common prefix 推导 dataset boundary,DONE,/home/shw/quant_projects/dataaccess/snapshot/resolver.py,"Lines 632-652: _uri_is_within() uses bucket+path-segment boundaries instead of string prefix. Lines 585-593: boundary validation enforced in resolve()"
R32-P0-037,P0,Manifest,resolve_source_snapshot helper 必须带 canonical FileSelector,DONE,/home/shw/quant_projects/dataaccess/snapshot/resolver.py,"Lines 406-414: SourceSnapshotResolver.__init__() accepts file_selector parameter. Lines 496-504: FileSelector used for filtering exact objects"
R32-P0-038,P0,Manifest,ResolvedSourceSnapshot digest 必须覆盖本地 mtime/checksum identity,DONE,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"Lines 201-230: content_digest_of_objects() includes mtime_ns in identity tuple (line 222), covers local file replacements"
R32-P0-039,P0,Manifest,ObjectIdentity 正式建模 checksum/content hash,DONE,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"Lines 19-43: ObjectIdentity dataclass with kind/algorithm/value/size fields. Lines 74-116: identity property extracts from available fields"
R32-P0-040,P0,Manifest,ResolvedSourceSnapshot.total_bytes 区分 unknown 与 0,DONE,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"Lines 165-175: total_bytes property returns None if any object has content_length=None, distinguishes unknown from 0-byte"
R32-P0-041,P0,Snapshot,legacy DataSnapshot 与 ResolvedSourceSnapshot 收敛,PARTIAL,/home/shw/quant_projects/dataaccess/snapshot/source_snapshot.py,"ResolvedSourceSnapshot exists and is canonical. Need to audit read_contract.py for legacy DataSnapshot/FileVersion usage and migration status"
R32-P0-042,P0,Snapshot,DataSnapshot 禁止混入 build SHA,NOT_VERIFIED,N/A,"Need to check if build SHA is excluded from SourceSnapshot identity. Should be in ExecutionIdentity instead"
R32-P0-043,P0,Snapshot,build_data_snapshot / rebuild_snapshot_files identity 算法必须完全一致,NOT_VERIFIED,N/A,"Need to find and audit snapshot builder/encoder implementation for consistency"
R32-P0-044,P0,Credentials,read_contract remote HEAD 必须传 STS session_token,NOT_VERIFIED,/home/shw/quant_projects/dataaccess/security/credentials.py,"Lines 89-133: EnvCredentialProvider extracts session_token. Need to verify boto3 client instantiation uses aws_session_token parameter"
R32-P0-045,P0,Credentials,remote metadata cache 必须 security/credential scoped,NOT_VERIFIED,N/A,"Need to audit remote metadata cache implementation for credential_scope_id, credential_generation, and principal scoping"
R32-P0-046,P0,Credentials,remote metadata cache bounded + typed negative cache,NOT_VERIFIED,N/A,"Need to find remote metadata cache and verify max_entries, LRU, TTL for success/NotFound, and credential generation boundary"
R32-P0-047,P0,Credentials,CredentialLease 真正使用 expires_at,NOT_VERIFIED,/home/shw/quant_projects/dataaccess/security/credentials.py,"Lines 53-77: CredentialMaterial has expires_at field. Need to find CredentialLease implementation and verify expiry checks before query"
