canonical,direct_use_status,mining_role,terminal_allowed,allowed_ast_positions,mining_lane,economic_effect_family,semantic_redundancy_group,data_inputs,scalar_parameters,context_inputs,group_inputs,event_inputs,output_semantic_kind,output_unit,supported_markets,source_recipes,runtime_cost,production_certified,directly_usable,retention_reason,delete_reason,replacement
ADX,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ALMA,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,window|offset|sigma,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ATR_WILDER,direct_intermediate,recipe_internal,False,intermediate,intermediate,volatility,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
CMF,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
CMO,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ChaikinOscillator,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,high|low|close|volume|fast_window|slow_window|adl_window,,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
CoppockCurve,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close,roc1|roc2|wma_window|roc_mode,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
DEMA,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,smoothed_price,x,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history replay indicator — terminal-grade alpha (high cost),,
DMI_minus,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
DMI_plus,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
DX,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
EaseOfMovement,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|volume|volume_scale,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ElderRay,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close,high|low|ema|output,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
FisherTransform,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|smooth|signal_smooth|output,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ForceIndex,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
HMA,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,window|rounding,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
KAMA,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,smoothed_price,close,er_window|fast_window|slow_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history replay indicator — terminal-grade alpha (high cost),,
KeltnerLower,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,high|low|close,ema_window|atr_window|multiplier,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
KeltnerMid,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,close,ema_window,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
KeltnerPosition,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,ema_window|atr_window|multiplier,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
KeltnerUpper,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,high|low|close,ema_window|atr_window|multiplier,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
MACD_hist,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,trend,oscillator,x|fast|slow|signal,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
MACD_line,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,trend,,x|fast|slow,signal,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
MACD_signal,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,trend,,x|fast|slow|signal,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
MFI,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
NATR,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,volatility,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
PPO,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,close,fast_window|slow_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
PPO_hist,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,oscillator,close,fast_window|slow_window|signal_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
PPO_signal,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,close,fast_window|slow_window|signal_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
PSAR,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,high|low,acceleration|maximum,,,,series,,ashare|us,daily_bar,1,False,False,full-history replay indicator — terminal-grade alpha (high cost),,
PVO,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,volume,fast_window|slow_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
PVO_hist,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,volume,fast_window|slow_window|signal_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
PVO_signal,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,volume,fast_window|slow_window|signal_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
QQE,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,length|smooth|factor|output,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
RSI_WILDER,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
RSX,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,length,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
Supertrend,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,high|low|close,atr_window|multiplier,,,,series,,ashare|us,daily_bar,1,False,False,full-history replay indicator — terminal-grade alpha (high cost),,
