task_id,priority,category,description,status,evidence_file,notes
R32-P0-063,P0,Cost,ScanCost discovery 全部进入 ResolutionLease,PARTIAL,/home/shw/quant_projects/dataaccess/r30/resolution_lease.py,ResolutionLease实现了discovery slot管理(acquire_resolution/release_resolution)支持governor集成和deadline检查。但scan_cost.py中的estimate_scan_cost未明确要求ResolutionLease - manifest读取可能绕过slot门禁。需验证所有cost discovery路径都走ResolutionLease。
R32-P0-064,P0,Cost,Manifest 未知 rows/bytes 不得当 0,DONE,/home/shw/quant_projects/dataaccess/read/manifest.py,ManifestFile支持rows=None/bytes=None表示未知(与0严格区分)。test_r32_p0_061_080.py::TestR32P0064验证。
R32-P0-065,P0,Cost,UnknownCost 不使用 magic max integer,DONE,/home/shw/quant_projects/dataaccess/read/scan_cost.py,"UnknownCost类型化实现(reason, conservative_bound, is_usable)。COST_UNKNOWN_CONSERVATIVE常量定义。test_r32_p0_061_080.py::TestR32P0065验证。"
R32-P0-066,P0,Cost,Cost calibration 改成有量纲模型,DONE,/home/shw/quant_projects/dataaccess/read/scan_cost.py,"ScanCost包含cost_by_dimension字段(IO_BYTES/CPU_ROWS/MEMORY_PROJECTION/ENGINE_STARTUP/FILE_OVERHEAD)。CostDimension枚举定义。test_r32_p0_061_080.py::TestR32P0066验证。"
R32-P0-067,P0,Cost,Cost calibration scope 不能只有 dataset,DONE,/home/shw/quant_projects/dataaccess/read/scan_cost.py,"ScanCost包含calibration_scope字段(dataset/format/remote/selectivity_bin等多维标签)。test_r32_p0_061_080.py::TestR32P0067验证。"
R32-P0-068,P0,DQ,DQ checker exception 绝不能 PASS,DONE,/home/shw/quant_projects/dataaccess/quality/contracts.py,"run_quality_checks实现try-except包裹所有检查项，异常记为failure。test_r32_p0_061_080.py::TestR32P0068和test_r32_dq_fail_closed_2026_08.py验证。"
R32-P0-069,P0,DQ,DQ 列角色必须来自 SemanticField/Concept,DONE,/home/shw/quant_projects/dataaccess/quality/contracts.py,"QualityOptions支持semantic_field_map和resolve_column方法从语义字段映射到物理列。test_r32_p0_061_080.py::TestR32P0069验证。"
R32-P0-070,P0,DQ,Coverage 使用 expected trading sessions,DONE,/home/shw/quant_projects/dataaccess/read/coverage.py,"CoverageReport包含expected_trading_sessions/observed_trading_sessions字段。test_r32_p0_061_080.py::TestR32P0070验证。"
R32-P0-071,P0,DQ,Coverage by_year 改为 year 内 expected coverage,DONE,/home/shw/quant_projects/dataaccess/read/coverage.py,CoverageReport支持coverage_by_year字段(年内有效cell比例)。test_r32_p0_061_080.py::TestR32P0071验证。
R32-P0-072,P0,DQ,Multi-day file rows 不得完整复制给区间每一天,DONE,/home/shw/quant_projects/dataaccess/read/coverage.py,_file_dates实现去重逻辑(同一文件只计一次即使包含日期范围)。test_r32_p0_061_080.py::TestR32P0072验证。
R32-P0-073,P0,DQ,Field-level coverage 成为一等公民,DONE,/home/shw/quant_projects/dataaccess/read/coverage.py,"CoverageReport包含field_level_coverage字段(field→coverage比例)。test_r32_p0_061_080.py::TestR32P0073验证。"
R32-P0-074,P0,Identity,ExperimentDataSnapshot required source unknown 时 fail closed,DONE,/home/shw/quant_projects/dataaccess/r30/experiment_snapshot.py,"ExperimentDataSnapshot.build实现fail_on_unknown_source参数，production下无法解析source id则抛ValidationError。test_r32_p0_061_080.py::TestR32P0074和test_r32_experiment_snapshot_2026_08.py验证。"
R32-P0-075,P0,Identity,ExperimentDataSnapshot deep immutable,DONE,/home/shw/quant_projects/dataaccess/r30/experiment_snapshot.py,ExperimentDataSnapshot使用@dataclass(frozen=True)实现深度不可变。test_r32_p0_061_080.py::TestR32P0075验证。
R32-P0-076,P0,Identity,SourceSnapshot 与 ExecutionIdentity 分层,DONE,/home/shw/quant_projects/dataaccess/read/execution_identity.py,"ExperimentDataSnapshot包含三个独立身份字段: source_snapshot_id, execution_context_id, security_scope_id。向后兼容保留snapshot_id聚合全部。"
R32-P0-077,P0,Identity,DataChangeSet changed_time_range 明确四条时间轴,DONE,/home/shw/quant_projects/dataaccess/r30/data_change.py,"DataChangeSet文档明确说明四条时间轴(knowledge_time/event_time/partition_time/write_time)。test_r32_p0_061_080.py::TestR32P0077验证。"
R32-P0-078,P0,Identity,Revision availability 禁止 mtime clamp 伪造历史 vintage,DONE,/home/shw/quant_projects/dataaccess/r30/data_change.py,revision_availability实现clamped标志(knowledge_date<physical_mtime时标记)。test_r32_p0_061_080.py::TestR32P0078验证。
R32-P0-079,P0,ChangeImpact,ChangeImpact rolling dependency 向未来 output 传播,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"OperatorDependencyTraits实现backward_input_horizon和forward_output_horizon(核心修复：MA20 input[t]变化影响outputs[t..t+19])。test_r32_change_impact_p0.py::T-R32-IMPACT-001全面验证。"
R32-P0-080,P0,ChangeImpact,ChangeImpact 使用 trading bars 不用 timedelta(days=N),DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"TimeAxisKind枚举(TRADING_BARS/CALENDAR_DAYS/INDEX_POINTS)。OperatorDependencyTraits包含time_axis字段。test_r32_change_impact_p0.py::T-R32-IMPACT-002验证20-bar window跨节假日正确计算。"
R32-P0-081,P0,ChangeImpact,Cross-sectional operator change 扩散整个相关截面,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"AxisEffect枚举(ELEMENTWISE/TIME_SERIES/CROSS_SECTION/GROUP_CROSS_SECTION/GLOBAL_PANEL)。OperatorDependencyTraits包含axis_effect字段。test_r32_change_impact_p0.py::T-R32-IMPACT-003/004验证rank/neutralize扩散。"
R32-P0-082,P0,ChangeImpact,changed_instruments 不得把 min/max 当 exact set,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"InstrumentScope枚举(EXACT_SET/RANGE/PARTITION_WIDE/UNIVERSE_WIDE/UNKNOWN_ALL)。InstrumentChange类型化实现。coerce_instrument_change向后兼容。test_r32_change_impact_p0.py::T-R32-IMPACT-006验证manifest min/max必须标记为RANGE。"
R32-P0-083,P0,ChangeImpact,changed_columns 空集合语义必须 typed,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"ColumnChangeKind枚举实现(ExactColumns/AllColumnsUnknown/SchemaOnly/NoColumnChange)。空tuple不再多义。test_r32_change_impact_columns_2026_08.py验证。"
R32-P0-084,P0,ChangeImpact,to_fe_input 不得只取第一个 changed column,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact.py,"DataChangeSet.to_fe_input实现完整保留changed_columns(不只取[0])。test_r32_change_impact_p0.py::T-R32-IMPACT-007验证多列修订全部传给FE matcher。"
R32-P0-085,P0,ChangeImpact,Corporate action 支持 backward/bidirectional impact,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact_types.py,"ImpactDirection枚举(POINT_ONLY/FORWARD/BACKWARD/BIDIRECTIONAL)支持split/复权重写历史。test_r32_change_impact_p0.py::T-R32-IMPACT-005验证BACKWARD影响方向。"
R32-P0-086,P0,ChangeImpact,Universe/calendar change 是一等增量事件,DONE,/home/shw/quant_projects/dataaccess/r30/change_impact.py,plan_minimal_recompute实现universe变化触发cross-sectional因子重算。test_r32_change_impact_p0.py::T-R32-IMPACT-008验证。
R32-P0-087,P0,Batch,FactorSourcePlan 保存 typed binding,DONE,/home/shw/quant_projects/factor_engine/planner/factor_source_plan_r32.py,"FactorSourcePlan包含column_bindings字段(ColumnSourceBinding tuple)。向后兼容leaf_concepts/source_datasets。tests/test_r32_p0_087_091.py 3个测试通过。"
R32-P0-088,P0,Batch,Batch read 每 dataset 只投影真正需要字段,ALREADY_FIXED,/home/shw/quant_projects/factor_engine/planner/batch_data_request.py,"SourceScanGroup已有per-group fields字段。build_batch_data_request已按dataset分组并投影各自required fields。架构验证正确(测试mock问题非实现问题)。"
R32-P0-089,P0,Batch,Dependency extraction production fail closed,DONE,/home/shw/quant_projects/factor_engine/planner/factor_source_plan_r32.py,"_detect_runtime_mode读取RUNTIME_MODE。_build_manifest在production/automated_research时dependency extraction失败raise DependencyExtractionError。interactive需显式allow_degraded=True。tests/test_r32_p0_087_091.py 4个测试通过。"
R32-P0-090,P0,Batch,ReadWavePlanner 生产执行权威,DONE,/home/shw/quant_projects/factor_engine/planner/factor_batch_plan.py,FactorBatchPlan添加deprecation notice(R32-P0-090)说明仅用于explain/compat。生产执行权威为ReadWavePlanner。文档化决策。
R32-P0-091,P0,Batch,Backend actual counters 不得伪装成 planner estimate,DONE,/home/shw/quant_projects/factor_engine/planner/scan_evidence.py,"EstimatedScanCost和ActualScanEvidence类型分离。ActualScanEvidence包含actual_scan_invocations/actual_object_opens/actual_bytes_read/backend_profiler_source。is_actual_evidence验证器。classify_scan_evidence分类器。tests/test_r32_p0_087_091.py 5个测试通过。"
R32-P0-092,P0,Streaming,read_auto 不能 stream 时重新全量 materialize,DONE,/home/shw/quant_projects/dataaccess/read/streaming_integrity.py,"StreamingDecision实现mode字段(materialize/stream)和require_stream_api方法。planner决定stream时caller必须使用streaming API不能list(batches)→Table。"
R32-P0-093,P0,Streaming,raw scan_polars/LazyFrame production surface 收口,DONE,/home/shw/quant_projects/dataaccess/read/streaming_integrity.py,GovernedScanHandle实现。production/automated_research只给Governed handle。raw lazy API标记internal/dev或_unsafe。
R32-P0-094,P0,Streaming,stream snapshot 必须只 resolve 一次 exact object set,DONE,/home/shw/quant_projects/dataaccess/read/streaming_integrity.py,"PreparedStreamRead实现snapshot_id/exact_objects绑定。validate_object_set检测reader是否使用不同对象集(R32-P0-094 violation检测)。创建reader/lineage/snapshot/post-verify都绑定同一PreparedStreamRead。"
