canonical,recipe_slots,recipe
ADX,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
ALMA,1,"{""x"": ""continuous_close""}"
ATR_WILDER,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
CMF,4,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
CMO,1,"{""close"": ""continuous_close""}"
ChaikinOscillator,4,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
CoppockCurve,1,"{""close"": ""continuous_close""}"
DEMA,1,"{""x"": ""continuous_close""}"
DMI_minus,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
DMI_plus,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
DX,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
EaseOfMovement,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""volume"": ""raw_volume_shares""}"
ElderRay,1,"{""close"": ""continuous_close""}"
FisherTransform,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ForceIndex,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
HMA,1,"{""x"": ""continuous_close""}"
KAMA,1,"{""close"": ""continuous_close""}"
KeltnerLower,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
KeltnerMid,1,"{""close"": ""continuous_close""}"
KeltnerPosition,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
KeltnerUpper,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
MACD_hist,1,"{""x"": ""continuous_close""}"
MACD_line,1,"{""x"": ""continuous_close""}"
MACD_signal,1,"{""x"": ""continuous_close""}"
MFI,4,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
NATR,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
PPO,1,"{""close"": ""continuous_close""}"
PPO_hist,1,"{""close"": ""continuous_close""}"
PPO_signal,1,"{""close"": ""continuous_close""}"
PSAR,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
PVO,1,"{""volume"": ""raw_volume_shares""}"
PVO_hist,1,"{""volume"": ""raw_volume_shares""}"
PVO_signal,1,"{""volume"": ""raw_volume_shares""}"
QQE,1,"{""x"": ""continuous_close""}"
RSI_WILDER,1,"{""x"": ""continuous_close""}"
RSX,1,"{""x"": ""continuous_close""}"
Supertrend,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
SupertrendDirection,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
TEMA,1,"{""x"": ""continuous_close""}"
TSI,1,"{""close"": ""continuous_close""}"
TSI_signal,1,"{""close"": ""continuous_close""}"
UltimateOscillator,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
VortexMinus,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
VortexPlus,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
WMA,1,"{""x"": ""continuous_close""}"
a_share_cap_ratio,1,"{""a_cap"": ""continuous_close""}"
abnormal_turnover,1,"{""turnover"": ""turnover""}"
abnormal_volume,1,"{""volume"": ""raw_volume_shares""}"
abs,1,"{""x"": ""continuous_close""}"
abs_return_volume_corr,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
accounting_comparability_score,1,"{""period_id"": ""period_id""}"
acos,1,"{""x"": ""continuous_close""}"
acos_bounded,1,"{""x"": ""continuous_close""}"
add,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
adv,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
altman_z_score,5,"{""operating_profit"": ""operating_profit"", ""total_assets"": ""total_assets"", ""market_cap"": ""market_cap"", ""revenue"": ""revenue"", ""period_id"": ""period_id""}"
amihud_illiquidity,2,"{""ret"": ""return_decimal"", ""amount"": ""amount_local""}"
and_,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
arg,1,"{""x"": ""continuous_close""}"
ashare_days_since_limit_down,1,"{""limit_down_event"": ""continuous_close""}"
ashare_days_since_limit_up,1,"{""limit_up_event"": ""continuous_close""}"
ashare_failed_limit_count,1,"{""close"": ""continuous_close""}"
ashare_limit_asymmetry,1,"{""up_event"": ""continuous_close""}"
ashare_limit_distance,1,"{""close"": ""continuous_close""}"
ashare_limit_down_streak,1,"{""close"": ""continuous_close""}"
ashare_limit_down_touch,1,"{""lower_limit"": ""continuous_close""}"
ashare_limit_down_volume_ratio,1,"{""volume"": ""raw_volume_shares""}"
ashare_limit_event_density,1,"{""event"": ""event_mask""}"
ashare_limit_failed,1,"{""close"": ""continuous_close""}"
ashare_limit_one_price,1,"{""close"": ""continuous_close""}"
ashare_limit_open_down_streak,1,"{""low_limit"": ""continuous_close""}"
ashare_limit_open_failed,1,"{""upper_limit"": ""continuous_close""}"
ashare_limit_open_up_streak,1,"{""high_limit"": ""continuous_close""}"
ashare_limit_touch_count,1,"{""high_limit"": ""continuous_close""}"
ashare_limit_up_streak,1,"{""close"": ""continuous_close""}"
ashare_limit_up_touch,1,"{""upper_limit"": ""continuous_close""}"
ashare_limit_up_volume_ratio,1,"{""volume"": ""raw_volume_shares""}"
ashare_one_price_limit_streak,1,"{""close"": ""continuous_close""}"
ashare_open_at_upper_limit,1,"{""upper_limit"": ""continuous_close""}"
ashare_suspension_episode_length,1,"{""is_suspend"": ""continuous_close""}"
asin,1,"{""x"": ""continuous_close""}"
asin_bounded,1,"{""x"": ""continuous_close""}"
atan,1,"{""x"": ""continuous_close""}"
atan2,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
atr_acceleration,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
atr_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
atr_percentile,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
atr_short_long_ratio,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
atr_zscore,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
average_turnover,1,"{""turnover"": ""turnover""}"
baseline_scaled_wasserstein_distance,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
benchmark_excess_return,2,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return""}"
benchmark_relative_price,1,"{""price"": ""continuous_close""}"
beta_divergence_pct,1,"{""ret"": ""return_decimal""}"
beta_residual_z,1,"{""ret"": ""return_decimal""}"
bollinger_pct_b,1,"{""x"": ""continuous_close""}"
bollinger_width,1,"{""x"": ""continuous_close""}"
book_to_price,1,"{""pb"": ""price_to_book""}"
bounded_nvi,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
bounded_pvi,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
bvc_imbalance_ma,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
bvc_sign_pct,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
calendar_day_diff,2,"{""date1"": ""event_date"", ""date2"": ""event_date""}"
candle_abs_body,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_body,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_body_percentile,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_body_position,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_body_ratio,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_body_strength,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_body_zscore,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_close_location,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_close_strength,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_direction,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_gap,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_gap_atr,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_gap_pct,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
candle_inside_ratio,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
candle_lower_shadow,3,"{""open"": ""continuous_open"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_lower_shadow_ratio,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_lower_shadow_zscore,3,"{""open"": ""continuous_open"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_overlap_ratio,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
candle_pattern_count,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_range,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
candle_range_atr,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_range_pct,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_range_percentile,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
candle_range_zscore,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
candle_rejection_lower,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_rejection_upper,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_upper_shadow,3,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""close"": ""continuous_close""}"
candle_upper_shadow_ratio,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candle_upper_shadow_zscore,3,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""close"": ""continuous_close""}"
candle_wick_balance,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
candlestick_pattern,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
capital_change_age,1,"{""change_date"": ""event_date""}"
